"member_id";"longitude";"latitude";"elevation";"time"
23;-3,786012;37,772971;541,489;2023-03-01 20:16:36
23;-3,786067;37,772746;542,424;2023-03-01 20:16:43
23;-3,786128;37,772384;544,655;2023-03-01 20:16:58
23;-3,786376;37,771934;548,42;2023-03-01 20:17:27
23;-3,786365;37,771734;549,008;2023-03-01 20:17:34
23;-3,786357;37,771395;550,662;2023-03-01 20:17:46
23;-3,78639;37,771186;551,865;2023-03-01 20:17:54
23;-3,786459;37,771033;552,468;2023-03-01 20:18:01
23;-3,786469;37,770919;552,877;2023-03-01 20:18:06
23;-3,786448;37,770372;556,462;2023-03-01 20:18:32
23;-3,786498;37,770319;557,28;2023-03-01 20:18:38
23;-3,78644;37,77009;557,823;2023-03-01 20:18:44
23;-3,786551;37,769831;560,408;2023-03-01 20:18:58
23;-3,786542;37,769713;561,081;2023-03-01 20:19:04
23;-3,786554;37,76957;562,669;2023-03-01 20:19:16
23;-3,786565;37,76936;563,685;2023-03-01 20:19:31
23;-3,786164;37,769128;564,481;2023-03-01 20:19:46
23;-3,785937;37,769072;564,062;2023-03-01 20:19:54
23;-3,785748;37,769023;563,888;2023-03-01 20:20:00
23;-3,785508;37,768937;563,043;2023-03-01 20:20:07
23;-3,784807;37,768706;559,408;2023-03-01 20:20:26
23;-3,78457;37,768627;558,261;2023-03-01 20:20:33
23;-3,784352;37,768533;557,079;2023-03-01 20:20:39
23;-3,784052;37,76851;556,052;2023-03-01 20:20:46
23;-3,783545;37,768687;554,081;2023-03-01 20:20:57
23;-3,783115;37,768406;552,071;2023-03-01 20:21:17
23;-3,78301;37,768232;552,069;2023-03-01 20:21:24
23;-3,782943;37,76801;551,812;2023-03-01 20:21:32
23;-3,783028;37,7679;551,891;2023-03-01 20:21:37
23;-3,783225;37,767829;553,619;2023-03-01 20:21:44
23;-3,783362;37,767823;555,008;2023-03-01 20:21:50
23;-3,783687;37,767712;556,844;2023-03-01 20:22:06
23;-3,783747;37,767571;557,052;2023-03-01 20:22:12
23;-3,783814;37,767339;557,668;2023-03-01 20:22:22
23;-3,783931;37,767278;557,642;2023-03-01 20:22:27
23;-3,784067;37,767218;558,026;2023-03-01 20:22:32
23;-3,784285;37,767128;559,618;2023-03-01 20:22:40
23;-3,784512;37,766906;560,479;2023-03-01 20:23:00
23;-3,784484;37,766489;559,023;2023-03-01 20:23:11
23;-3,784532;37,766312;557,282;2023-03-01 20:23:18
23;-3,784579;37,766156;556,091;2023-03-01 20:23:24
23;-3,784652;37,765973;554,859;2023-03-01 20:23:30
23;-3,784806;37,765695;552,859;2023-03-01 20:23:41
23;-3,784972;37,765528;551,695;2023-03-01 20:23:49
23;-3,785092;37,765425;550,023;2023-03-01 20:23:55
23;-3,785433;37,764774;549,624;2023-03-01 20:24:20
23;-3,785552;37,764574;550,415;2023-03-01 20:24:28
23;-3,785618;37,764454;551,241;2023-03-01 20:24:33
23;-3,785806;37,764237;552,009;2023-03-01 20:24:42
23;-3,786221;37,763935;554,494;2023-03-01 20:24:59
23;-3,786485;37,763843;555,287;2023-03-01 20:25:07
23;-3,786721;37,763746;555,687;2023-03-01 20:25:16
23;-3,786955;37,763696;556,042;2023-03-01 20:25:23
23;-3,787449;37,763656;557,062;2023-03-01 20:25:38
23;-3,78776;37,763668;557,013;2023-03-01 20:25:49
23;-3,787941;37,763718;557,411;2023-03-01 20:25:55
23;-3,788081;37,763747;557,658;2023-03-01 20:26:00
23;-3,78836;37,763695;558,605;2023-03-01 20:26:09
23;-3,788582;37,763578;558,808;2023-03-01 20:26:17
23;-3,788699;37,763432;559,08;2023-03-01 20:26:24
23;-3,788774;37,763232;558,849;2023-03-01 20:26:32
23;-3,78885;37,763073;558,427;2023-03-01 20:26:38
23;-3,78897;37,762888;558,43;2023-03-01 20:26:46
23;-3,788973;37,762773;558,457;2023-03-01 20:26:52
23;-3,788948;37,762532;558,227;2023-03-01 20:27:02
23;-3,78994;37,762185;560,478;2023-03-01 20:27:35
23;-3,790458;37,762116;563,058;2023-03-01 20:27:51
23;-3,79139;37,762124;569,66;2023-03-01 20:28:22
