"categoria";"temps"
"CATEGORIA C M";"00:54:45"
"CATEGORIA C M";"00:54:49"
"CATEGORIA C M";"00:54:50"
"CATEGORIA C M";"00:54:50"
"CATEGORIA B F";"00:54:52"
"CATEGORIA C M";"00:54:52"
"CATEGORIA C M";"00:54:53"
"CATEGORIA C M";"00:54:53"
"CATEGORIA C M";"00:54:54"
"CATEGORIA C M";"00:54:55"
"CATEGORIA C M";"00:54:57"
"CATEGORIA C M";"00:54:57"
"CATEGORIA B M";"00:54:59"
"CATEGORIA C M";"00:55:01"
"CATEGORIA C M";"00:55:04"
"CATEGORIA C M";"00:55:06"
"CATEGORIA C M";"00:55:06"
"CATEGORIA C M";"00:55:07"
"CATEGORIA C M";"00:55:08"
"CATEGORIA C M";"00:55:12"
"CATEGORIA B M";"00:55:14"
"CATEGORIA C M";"00:55:14"
"CATEGORIA C F";"00:55:18"
"CATEGORIA C F";"00:55:18"
"CATEGORIA C M";"00:55:19"
"CATEGORIA B M";"00:55:19"
"CATEGORIA B M";"00:55:24"
"CATEGORIA C M";"00:55:24"
"CATEGORIA C M";"00:55:25"
"CATEGORIA C M";"00:55:26"
"CATEGORIA C M";"00:55:27"
"CATEGORIA B M";"00:55:28"
"CATEGORIA C M";"00:55:28"
"CATEGORIA B M";"00:55:29"
"CATEGORIA C M";"00:55:29"
"CATEGORIA C M";"00:55:30"
"CATEGORIA C M";"00:55:30"
"CATEGORIA C M";"00:55:30"
"CATEGORIA B M";"00:55:38"
"CATEGORIA B M";"00:55:38"
"CATEGORIA C M";"00:55:39"
"CATEGORIA C M";"00:55:39"
"CATEGORIA C F";"00:55:40"
"CATEGORIA C M";"00:55:40"
"CATEGORIA C M";"00:55:41"
"CATEGORIA C M";"00:55:43"
"CATEGORIA C M";"00:55:46"
"CATEGORIA C M";"00:55:46"
"CATEGORIA C F";"00:55:47"
"CATEGORIA C M";"00:55:48"
"CATEGORIA B M";"00:55:50"
"CATEGORIA B M";"00:55:50"
"CATEGORIA C M";"00:55:53"
"CATEGORIA C M";"00:55:54"
"CATEGORIA C M";"00:55:56"
"CATEGORIA C M";"00:55:57"
"CATEGORIA C M";"00:55:57"
"CATEGORIA C M";"00:55:58"
"CATEGORIA C M";"00:55:58"
"CATEGORIA C F";"00:55:59"
"CATEGORIA C M";"00:55:59"
"CATEGORIA B M";"00:56:02"
"CATEGORIA C M";"00:56:04"
"CATEGORIA C M";"00:56:06"
"CATEGORIA B M";"00:56:07"
"CATEGORIA C F";"00:56:12"
"CATEGORIA C M";"00:56:12"
"CATEGORIA C M";"00:56:14"
"CATEGORIA C M";"00:56:14"
"CATEGORIA B F";"00:56:16"
"CATEGORIA C F";"00:56:17"
"CATEGORIA A M";"00:56:17"
"CATEGORIA C M";"00:56:19"
"CATEGORIA C M";"00:56:21"
"CATEGORIA C F";"00:56:23"
"CATEGORIA C M";"00:56:24"
"CATEGORIA C M";"00:56:26"
"CATEGORIA B M";"00:56:30"
"CATEGORIA C M";"00:56:30"
"CATEGORIA C M";"00:56:34"
